Judul_Pekerjaan,Perusahaan,Lokasi,Jenis_Pekerjaan,Gaji,Kualifikasi_Keterampilan,URL_Target
"ETL Developer (SSIS, SSAS, SSRS)",PT Platinumetrix Global Inovasi,"South Tangerang, Banten",Kontrak/Temporer,Rp 8.000.000 – Rp 12.000.000 per month,"Candidates must possess at least Bachelor's Degree in Engineering (Computer / Telecommunication), Engineering (Electrical / Electronic), Computer Science/Information Technology, Science & Technology or equivalent. | Minimum 2 years exp as ETL Developer | Experience with SQL script/query | Experience using tools SSIS, SSRS, SSAS | Experience handle Project Banking | In-depth understanding of database management systems, and ETL (Extract, transform, load) framework | Onsite in Bintaro Tangerang Selatan | Design, Develop and Test ETL Mappings, Mapplets, Workflows, Worklets to support business requirements. | Perform feasibility, impact analysis and suitable solutions based on the use cases. | Ensuring data management and governance to maintain the data integrity. | Develop data mappings to extract the data from XML/Database and loading to the source stating database tables. | Create shell scripts for ETL purpose.",https://id.jobstreet.com/id/job/91527742
VoIP Software Developer,PT Esphere Techno Corindo,"South Tangerang, Banten",Full time,Rp 12.000.000 – Rp 16.000.000 per month,"Design and develop VoIP applications with AI-enabled backend services | Architect SIP-based communication systems integrated with AI processing pipelines | Build and optimize real-time voice flows with features such as transcription, voice bots, and analytics | Ensure high performance, low latency, and reliability in real-time communication | Collaborate with backend, AI, and infrastructure teams | English is a must | Experience designing VoIP systems (SIP, RTP, RTCP) | Strong backend development skills (Java, C++, or similar) | Solid understanding of networking (TCP/IP, NAT traversal, QoS, VPN, firewalls, DNS/Routing concepts) | Experience with Linux-based systems | Ability to design scalable, real-time architectures | Experience configuring and managing SIP trunks and VoIP providers | Understanding of caller ID management and number provisioning | Familiarity with call flow logic and telephony routing rukes | Competitive salary and benefits | Working remotely | Flexible working hours | Opportunity to work on cutting-edge AI + VoIP systems | Collaborative, international team",https://id.jobstreet.com/id/job/91348985
Backend Developer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/91282876
[G06] Back End Developer,BINAR's Partner,"Tangerang District, Banten",Full time,Dirahasiakan,"Bachelor’s degree in Computer Science, Software Engineering, Information Systems, or related field (GPA > 3.00 preferred) | Minimum 3 years of experience in backend development, preferably with experience in ASP.NET, C# .NET, or Java/C++ | Solid understanding of object-oriented programming (OOP) and software design principles | Experience with SQL Server and/or big data technologies, distributed systems, ETL workflows, and cloud platforms (especially AWS) is a plus | Strong skills in testing (unit, integration, UAT) and version control systems (e.g., Git) | Proven ability to work across diverse platforms and operating systems using modern development tools | Experience in team leadership or mentoring is an advantage | Excellent problem-solving, analytical, documentation, and communication skills | Self-motivated, team-oriented, and passionate about the IT industry | Eagerness to learn new technologies such as Scala and Apache Spark",https://id.jobstreet.com/id/job/87867574
Associate Product Manager,PT Cerdas Digital Nusantara,"Tangerang District, Banten",Full time,Dirahasiakan,"Agile Execution: Drive the day-to-day delivery of product features, including drafting precise product requirement documents (PRDs), user stories, and overseeing quality assurance. | Rapid Prototyping & AI Utilization: Follow the build-measure-learn loop. Utilize AI tools to accelerate prototyping, generate test scenarios, and streamline routine documentation. | Roadmap Support: Assist in preparing, developing, and communicating the product roadmap alongside Senior PMs. | User & Market Research: Study the product and market landscape. Leverage AI research assistants to quickly synthesize user interviews and competitive edge data into actionable insights for stakeholders. | Hypothesis Testing: Design and execute experiments (A/B testing, user interviews) to validate product hypotheses from the prototyping phase through to production. | Education: Bachelor’s degree in business, design, engineering, or equivalent experience. | Tech & AI Curiosity: Eagerness to learn about emerging technologies. Basic familiarity with using Generative AI tools (like ChatGPT, Gemini, or Claude) to boost workflow efficiency and problem-solving. | Analytical Mindset: Strong foundational analytical skills, good administrative organization, and the ability to break down complex problems into manageable tasks. | Agile Fundamentals: Foundational knowledge of agile product development concepts, procedures, and practices. | Team Player: Ability to collaborate seamlessly with engineering and design peers, actively working to remove blockers and reduce friction. | Language: Fluency in both written and spoken English. | Mission-Driven: A strong, genuine interest in creating lasting social impact through Indonesia's education ecosystem. | Instagram: @lifeatcakap @cakapcom | Twitter: @cakapcom | Tiktok: @cakapcom | LinkedIn: linkedin.com/company/cakap",https://id.jobstreet.com/id/job/91494515
FullStack Developer (ReactJS + Golang),PT Platinumetrix Global Inovasi,"South Tangerang, Banten",Kontrak/Temporer,Rp 7.000.000 – Rp 10.000.000 per month,"Minimum Diploma / Bachelor Degree | Proficient in React & Golang (a must) | REST API knowledge and use of Postman (a must) | Strong experience in microservice (a must) | Strong experience in SQL | 2 years experience of extensive software development | Experience in Agile Methodology | Experience in Message Queue (plus point) | Proficient in NO-SQL (plus point | Proficient in GRPC/Protobuf (plus point) | Full WFO : BSD Tangerang | Design, develop, test, release and improve services | Maintain development standards, practices & principles | Build scalable and maintainable software | Provides solution architect from business requirements.",https://id.jobstreet.com/id/job/91222554
Test Engineer (Automation) - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/91179521
Lowongan Kerja Net Full Stack Engineer,Liven,"Serang, Banten",Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/87485252
Golang Developer,PT ABISHAR TECHNOLOGIES INDONESIA,"Tangerang, Banten",Full time,Rp 7.000.000 – Rp 9.000.000 per month,,https://id.jobstreet.com/id/job/91284813
WordPress Developer,Anabatic,"Tangerang District, Banten",Full time,Dirahasiakan,"Design and Development: Creating and maintaining websites and web applications, including the layout, design, and user interface. | Coding: Writing clean, efficient code using programming languages such as HTML, CSS, and JavaScript. | Collaboration: Working closely with web designers, project managers, and other developers to translate ideas into a functional website. | Performance and Optimization: Optimizing websites for speed, performance, and compatibility across different devices and browsers. | Maintenance: Performing ongoing maintenance, updates, and enhancements to existing websites. | Integration: Integrating third-party services, APIs, and other back-end systems. | Testing: Testing websites to ensure they are bug-free and perform as expected. | Minimum Bachelor Degree in Information Technology from reputable university. | Have minimum 2 years working experience as Website Developer. | Proficiency in front-end and/or back-end development languages (e.g., HTML, CSS, JavaScript). | Experience with web development frameworks. | Understanding of user experience (UX) and user interface (UI) principles. | Ability to troubleshoot and debug technical issues. | Strong problem-solving skills. | Knowledge of SEO best practices is often beneficial. | Education: Bachelor Degree, Master Degree",https://id.jobstreet.com/id/job/89048843
Odoo Expert / Senior Odoo Developer,PT.BINTANG MEDIKA BERSAMA,"Tangerang, Banten",Full time,Rp 9.000.000 – Rp 13.000.000 per month,"Menganalisis kebutuhan bisnis dan menerjemahkannya ke dalam solusi teknis pada platform Odoo. | Melakukan kustomisasi modul Odoo (Sales, Purchase, Inventory, Accounting, Manufacturing, dll) serta mengembangkan modul baru sesuai kebutuhan. | Mengelola integrasi Odoo dengan aplikasi pihak ketiga (API, Payment Gateway, E-commerce). | Melakukan migrasi data dan memastikan integritas data dalam sistem. | Mengoptimalkan performa server Odoo dan melakukantroubleshootingpada level kode maupun basis data. | Memberikan dukungan teknis dan pelatihan kepada pengguna akhir (end-users). | Pendidikan minimal S1 Teknik Informatika, Sistem Informasi, atau bidang terkait. | Pengalaman minimal3 Tahundalam pengembangan Odoo (Odoo v14 ke atas lebih disukai). | Menguasai bahasa pemrogramanPythondan framework Odoo secara mendalam. | Mahir dalam menggunakanPostgreSQLdan optimasiquery. | Memahami konsep XML, JavaScript (untuk kustomisasi UI/OWL), dan CSS/HTML. | Berpengalaman dengan integrasi sistem (REST API/JSON-RPC). | Memahami alur bisnis ERP (Accounting, SCM, CRM, dll) adalah nilai plus yang besar. | Terbiasa menggunakan Git sebagaiversion control. | Mampu bekerja secara mandiri maupun dalam tim dengan metodologi Agile/Scrum. | Memiliki sertifikasi resmi dari Odoo. | Pengalaman mengelola infrastruktur Odoo di AWS, Google Cloud, atau Docker. | Pemahaman tentang pengembangan aplikasi mobile untuk Odoo.",https://id.jobstreet.com/id/job/91305913
Programmer (Japanese Speaker),PT Multiartha Prima Sejahtera,"Cipondoh, Banten",Kontrak/Temporer,Rp 6.000.000 – Rp 9.000.000 per month,,https://id.jobstreet.com/id/job/91388498
DevOps (Infrastucture Engineer),PT ABISHAR TECHNOLOGIES INDONESIA,"South Tangerang, Banten",Full time,Rp 14.000.000 – Rp 18.000.000 per month,"Manage multi-environment infrastructure (Development, Staging, Sandbox, Production), including deployment, configuration, patching, and incident handling | Maintain and enhance small internal services using Node.js or Python | Build and maintain internal tools or integrations to support infrastructure and engineering workflows | Collaborate with developers to resolve technical issues related to infrastructure or service integration | Optimize cloud resource usage to ensure cost efficiency | Implement and audit essential security practices, including IAM, SSL/TLS, firewall, and secret management | Create clear documentation and infrastructure diagrams for internal and audit purposes | Bachelor’s degree in Computer Science, Information Technology, or equivalent experience | Minimum 4-5 years of experience as an Infrastructure Engineer / DevOps / SRE | Strong experience with Linux systems (Ubuntu, CentOS, Alibaba Cloud Linux) | Hands-on experience managing cloud infrastructure (Alibaba Cloud / AWS / GCP) | Solid understanding of Kubernetes (ACK preferred) and Docker | Experience building and maintaining CI/CD pipelines (GitLab CI, Jenkins, ArgoCD) | Proficiency with Infrastructure as Code tools such as Terraform or Helm | Strong understanding of Networking & Security (Nginx, Load Balancer, DNS, VPN, SSL/TLS, IAM) | Strong programming skills in Node.js (primary) or Python to maintain existing small services and support internal engineering needs | Excellent problem-solving, troubleshooting, and analytical skills",https://id.jobstreet.com/id/job/91558791
Fullstack Developer - .NET (Property or Banking Client),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/90422807
Fullstack Developer (Golang & React JS),PT ABISHAR TECHNOLOGIES INDONESIA,"Tangerang, Banten",Kontrak/Temporer,Rp 7.000.000 – Rp 8.000.000 per month,"Develop and maintain backend services usingGolang (API development) | Build responsive UI usingReact.js | Design and implementscalable, secure, and high-performance systems | Develop and maintainRESTful APIs and microservices architecture | Collaborate with cross-functional teams (Product, Engineering, QA) | Ensure code quality throughtesting, code review, and best practices | Implement and manageCI/CD pipelines | Work withcontainerized environments (Docker, Kubernetes) | Troubleshoot, debug, and optimize system performance | Minimum3 years experience as Fullstack Developer | Stronganalytical and problem-solving skills | Hands-on experience withGolang (backend/API)andReact.js (frontend) | Experience withGit, CI/CD pipelines | Experience withDocker and Kubernetes | Strong understanding ofmicroservices architecture, REST API, asynchronous processing | Familiar withevent streaming (Kafka) | Experience withdatabases: SQL Server, Oracle, PostgreSQL | Able to work independently and in a team | Experience inpayment systems / financial services",https://id.jobstreet.com/id/job/91280745
Software Developer - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/91293551
Java developer,PT Platinumetrix Global Inovasi,"South Tangerang, Banten",Full time,Rp 9.000.000 – Rp 10.000.000 per month,,https://id.jobstreet.com/id/job/91424785
Web Developer (Java Springboot) - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/90540031
Android Developer,PT SENS TEKNOLOGI INDONESIA,"South Tangerang, Banten",Full time,Rp 6.000.000 – Rp 7.500.000 per month,"Merancang dan mengembangkan aplikasi Android. | Menulis, menguji, dan memelihara kode aplikasi. | Mengoptimalkan performa aplikasi dan memperbaiki bug. | Mengintegrasikan API dan layanan eksternal. | Bekerja sama dengan tim UI/UX dalam pengembangan aplikasi. | Membuat dokumentasi teknis. | Pendidikan minimalD3/S1di bidang IT atau terkait. | Pengalaman2–3 tahunsebagai Android Developer atau posisi serupa. | MenguasaiJava atau Kotlinuntuk pengembangan Android. | Familiar denganAndroid Studio, Android SDK, dan Gradle. | MemahamiREST API, JSON, dan database. | Menguasai konsepOOPdan arsitektur sepertiMVC/MVVM. | Terbiasa menggunakanGitatau version control. | Memiliki kemampuanproblem solving, debugging, dan komunikasi yang baik.",https://id.jobstreet.com/id/job/91525931
Java Developer,PT ABISHAR TECHNOLOGIES INDONESIA,"Tangerang, Banten",Kontrak/Temporer,Rp 7.000.000 – Rp 8.000.000 per month,Minimummid-level engineer(approximately 2–5 years of experience) | Ability to workindependently as well as in a team environment | Highlearning agilitywith the ability to adapt quickly | Strong experience inJava & Spring Boot | Solid understanding ofREST API and Microservices Architecture | Familiar withrelational databases (SQL) | Experience usingGit and development workflows | Good understanding of theSoftware Development Life Cycle (SDLC) | Experience inbanking or financial services industry | Understanding ofcorporate banking processes | Familiarity withMicro Front-End (MFE) architecture,https://id.jobstreet.com/id/job/91340644
Java Web Developer (ASAP),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,"System Architecture: Design, develop, and maintain robust back-end infrastructure for banking applications using a consistent, scalable, and secure approach. | Microservices Management: Architect and implement complex Microservices to support various banking functionalities, ensuring high availability and system resilience. | Transaction Integrity: Oversee and optimize digital transaction flows for both web and mobile banking platforms to ensure security and performance. | Automated Testing: Implement and maintain rigorous Unit Testing to ensure code quality, security, and reliability before production deployment. | Database & CI/CD: Manage and optimize PostgreSQL databases and streamline development workflows using CI/CD tools such as Bitbucket and Jenkins. | Continuous Improvement: Modify and enhance existing systems to adapt to new banking regulations and business requirements. | Available to join early March 2026 | Industry Experience: Prior experience in the Banking/Fintech industry is highly preferred, specifically with an understanding of web or mobile banking transactions. | Technical Stack: Mastery of Java Spring Boot and Rust programming languages. | Architecture: Deep understanding of Microservices architecture and design patterns. | Database Knowledge: Strong proficiency in PostgreSQL database management and optimization. | DevOps Tools: Hands-on experience with CI/CD tools, specifically Bitbucket and Jenkins. | Quality Assurance: Proven ability to write and maintain comprehensive Unit Tests. | Analytical Skills: Excellent analytical thinking and problem-solving skills to handle complex financial data and system logic. | Education: Minimum Bachelor’s Degree in Computer Science, Information Technology, or a related field.",https://id.jobstreet.com/id/job/90540035
Back End Developer (Golang & Java Springboot) - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,"Paham mengenai transaksi web or mobile banking | Menguasai pemrograman java spring boot, golang | Memiliki analytical thinking yang baik | Memahami micro services | Menguasai unit test dengan baik | Database Knowledge (PostGreSQL) | CI/CD Tools Knowledge (Bitbucket, Jenkins)",https://id.jobstreet.com/id/job/90728799
Senior Software Developer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Full time,Dirahasiakan,"Pendidikan minimal S1 di bidang IT (Teknik Informatika, Sistem Informasi, atau sejenisnya) | Memiliki pengalaman minimal 4–6 tahun sebagai Software Developer / Backend Developer dariBanking Industry | Wajib menguasai: Spring Boot, Golang, dan Rust (harus ketiganya) | Berpengalaman dalam pengembangan backend system dan API (RESTful) | Terbiasa bekerja dengan database relasional maupun non-relasional | Memahami konsep clean code, microservices architecture, dan system design | Memiliki kemampuan problem solving yang baik dan mampu bekerja secara mandiri maupun tim | Bersedia bekerjafull WFO di Bintaro | Available untuk join di April 2026 | Bersedia kontrak project selama6 bulan (berpotensi diperpanjang)",https://id.jobstreet.com/id/job/91240876
"Software Developer (Java Springboot, Golang, Rust)",PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,,https://id.jobstreet.com/id/job/91487896
Senior Golang Developer (ASAP - Banking),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,"Professional Experience: Memiliki pengalaman minimal 4 tahun sebagai Backend Software Developer. | Technical Mastery: Keahlian mendalam (Expert) dalam pemrograman menggunakan Golang. | Industry Background: Wajib memiliki pengalaman bekerja di industri perbankan (Banking) atau big startup. | Architecture & Testing: Sangat memahami dan terbiasa mengimplementasikan Clean Architecture serta disiplin dalam melakukan Unit Testing. | Database Skills: Memiliki pengalaman luas dalam mengelola database SQL maupun NoSQL. | Availability: Wajib siap bergabung secepatnya (ASAP) untuk mendukung kebutuhan proyek yang mendesak. | Analytical Thinking: Kemampuan analisis yang kuat untuk memecahkan masalah kompleks pada sistem perbankan yang memiliki tingkat keamanan dan stabilitas tinggi. | Merancang, mengembangkan, dan memelihara aplikasi backend yang skalabel dan aman. | Berkolaborasi dengan tim lintas fungsional untuk menerjemahkan kebutuhan bisnis perbankan menjadi solusi teknis yang efisien. | Memastikan kode program memenuhi standar kualitas tinggi melalui code review dan testing yang ketat. | Mengoptimalkan performa aplikasi untuk menangani volume transaksi yang besar.",https://id.jobstreet.com/id/job/90665997
Cybersecurity Cloud Solution Engineer,PT Leyun Cloud Asia,"Tangerang, Banten",Full time,Rp 5.400.000 – Rp 8.000.000 per month,,https://id.jobstreet.com/id/job/91559851
Marketing,PT ATTAQI BERKAH UTAMA,"South Tangerang, Banten",Full time,Rp 3.000.000 – Rp 4.500.000 per month,Melayani dan merespon customer (chat/WA) dengan cepat dan ramah | Menjaga hubungan baik dengan customer & mitra (seller/reseller) | Melakukan follow up terhadap calon customer yang belum closing | Mencari dan mengembangkan customer baru (seller/reseller) | Mengelola transaksi dan memastikan proses berjalan lancar | Memberikan solusi atas kendala atau komplain customer | Mencapai target penjualan harian/bulanan,https://id.jobstreet.com/id/job/91533618
Cybersecurity Cloud Sales,PT Leyun Cloud Asia,"Tangerang, Banten",Full time,Rp 6.000.000 – Rp 8.000.000 per month,,https://id.jobstreet.com/id/job/91559527
Account Executive,PT eBdesk Teknologi,"South Tangerang, Banten",Kontrak/Temporer,Dirahasiakan,"Pengalaman minimal 2 tahun sebagai Account Executive / Sales di: | Digital media | Influencer marketing | Media agency | Production house / content studio | Media agency (digital, creative, influencer) | Brand (FMCG, fintech, telco, startup, government/CSR menjadi nilai tambah) | Branded content | YouTube sponsorship | Integrated campaign (YouTube, Instagram, TikTok, podcast) | Built-in product | Endorsement | Series sponsorship | Campaign berbasis KPI (views, engagement, reach) | Skill & Kompetensi | Prospecting & lead generation | Pitching ke brand & agency | Negosiasi harga dan deal closing | Account handling & client relationship management | Rate card, Media kit, Insight & performance content | Proposal penawaran | Deck pitching sederhana | Campaign brief untuk tim internal | Memiliki kemampuan komunikasi yang baik, persuasif, dan target-oriented | Mampu bekerja secara mandiri maupun lintas tim (content, producer, talent) | Mencari dan mengembangkan klien baru (brand & agency) | Menjaga dan mengembangkan hubungan dengan klien existing | Menawarkan solusi campaign berbasis ekosistem YouTube & social media | Berkoordinasi dengan tim produksi dan kreatif untuk eksekusi campaign | Melakukan monitoring performa campaign dan reporting ke klien | Bertanggung jawab atas pencapaian target revenue bulanan",https://id.jobstreet.com/id/job/91231867
IT Account Executive,Kodegiri,"Tangerang District, Banten",Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/90870935
Lowongan Kerja Full Stack Developer Python,GONSTERS,"Tangerang District, Banten",Full time,Dirahasiakan,"Design, implement, and maintain backend services to ingest, process, and expose industrial sensor and machine data. | Build scalable APIs for Digital Twin monitoring and analytics. | Manage real-time data pipelines and WebSocket endpoints for live monitoring. | Develop data models and storage solutions optimized for industrial telemetry. | Architect and manage AWS infrastructure, ensuring secure, scalable deployments. | Define and maintain IaC using Terraform. | Configure Salt for provisioning and managing industrial servers and edge devices. | Build and maintain CI/CD pipelines with GitHub Actions. | Implement monitoring, error tracking, and observability with Sentry. | Ensure containerized deployment workflows with Docker are efficient and reliable. | Collaborate on architecture, code reviews, and integration with other IIoT systems. | Build and maintain interactive dashboards for industrial data and digital twin visualizations using Vite, Tailwind, Zustand, Chart.js, and Three.js. | Strong Python backend experience with API design and data processing | Experience with real-time data processing or WebSockets | Knowledge of AWS and infrastructure-as-code principles | Hands-on experience with Docker, CI/CD pipelines, and monitoring | Familiarity with frontend frameworks (Vite, Tailwind, Zustand) | Interest in industrial automation, Digital Twin, or IoT | MQTT, OPC-UA, or other industrial protocols | 3D visualization or CAD integration experience | Experience with IIoT data modeling and analytics",https://id.jobstreet.com/id/job/90345610
Performance Engineer - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Kontrak/Temporer,Dirahasiakan,"JMeter: Advanced scripting, custom samplers, Groovy/BeanShell scripting | LoadRunner: Web HTTP/HTML, TruClient, Web Services protocol | K6 atau Gatling(Nilai Plus): Experience dengan modern performance testing berbasis code | APM Tools: Dynatrace, New Relic, atau AppDynamics (monitoring transaction snapshot & code-level analysis) | Infrastructure Monitoring: Prometheus & Grafana | Log Management: ELK Stack (Elasticsearch, Logstash, Kibana) atau Splunk | Architecture: Microservices architecture, Load Balancer (NGINX/F5), Caching (Redis) | Cloud & Containerization: Docker & Kubernetes (monitoring pod health, resource usage) | Database Performance: Query optimization & indexing (PostgreSQL, MySQL, Oracle) | Workload Modeling: Analisis production usage pattern (Google Analytics/logs) untuk membuat realistic performance test scenario | End-to-End Performance Testing: Load, Stress, Endurance, & Scalability testing | Bottleneck Diagnosis: Thread Dump, Heap Dump, Garbage Collection (GC) analysis | Shift-Left Performance: Integrasi performance testing ke CI/CD (Jenkins, GitLab, Azure DevOps) | Capacity Planning: Memberikan rekomendasi scaling (hardware/cloud) berdasarkan hasil testingSoft Skills & Qualifications | Analytical Mindset: Mampu mengidentifikasi root cause (code, database, infrastructure) bukan hanya melaporkan issue | Communication Skills: Mampu menjelaskan bottleneck teknis ke stakeholder non-teknis | Experience: Minimal 3+ years di Performance Testing/Engineering atau Software Development",https://id.jobstreet.com/id/job/90728800
"Backend Developer (Java, Golang, Rust)",PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Tangerang District, Banten",Full time,Dirahasiakan,"Min. S1 IT / sejenis | Pengalaman: -Middle: min. 3 tahun -Senior: min. 5 tahun | Wajib pengalaman di banking industry | Wajib menguasai: Java (Spring Boot), Golang, Rust | Memahami API, microservices, dan database | Familiar dengan Git & best practice coding | Komunikatif & bisa kerja tim | Full WFO Bintaro | Durasi 3–6 bulan (extendable) | Available join ASAP",https://id.jobstreet.com/id/job/91487900
QA Computer System Validation (CSV) Staff,PT Interbat (Sidoarjo),"Sidoarjo, Jawa Timur",Full time,Rp 6.500.000 – Rp 7.500.000 per month,"Menyusun dan mereview dokumenComputer System Validation (CSV). | Melakukan koordinasi dan monitoring pelaksanaanIQ, OQ, dan PQ. | Melaksanakanperiodic reviewterhadap sistem tervalidasi. | Memastikan penerapanData Integritymelalui verifikasi audit trail, user access, serta backup & restore. | Melakukan review change control, risk assessment, serta terlibat dalam investigasi deviasi terkait sistem. | Pendidikan minimal S1 Teknik Informatika / Sistem Informasi / Farmasi / bidang terkait. | Memiliki pemahaman yang baik terkaitComputer System Validation (CSV)dan prinsipData Integrity (ALCOA+). | Memahami regulasiCPOBdan praktik Good Manufacturing Practices. | Memiliki pengalaman minimal 2 tahun di bidang terkait (lebih disukai). | Berpengalaman dalam penyusunan dan review dokumen validasi (URS, Risk Assessment, IQ, OQ, PQ, SOP). | Memiliki kemampuan analisis yang baik, teliti, serta mampu bekerja secara sistematis dan kolaboratif.",https://id.jobstreet.com/id/job/91563503
Software Tester,Ika Raya Sentausa,"Malang, Jawa Timur",Full time,Dirahasiakan,"Bisnis Stabil & Tahan Krisis - Bergerak di industri makanan kebutuhan sehari-hari (bumbu masak, kecap, saus, tepung), dengan permintaan pasar yang konsisten. | Karier Jelas & Berkembang - Ika Raya Sentosa menyediakan jalur karier terstruktur berbasis kinerja. | Kompensasi Menarik - Gaji kompetitif | Produk Dibutuhkan Pasar Luas - Target market horeka, toko sembako, dan kelontong. | Merancang dan menjalankan skenario pengujian (blackbox, whitebox, graybox) pada aplikasi web & mobile. | Melakukan functional, regression, integration, performance, dan security testing. | Membuat test case, bug report, serta dokumentasi hasil uji. | Melakukan UAT, training user, serta menyusun user guide (text & video). | Melacak, mem-follow up, dan melakukan re-test perbaikan bug. | Menggunakan manual & automation testing untuk meningkatkan kualitas software. | Berkolaborasi dengan tim developer & analyst guna memastikan kualitas sistem optimal. | Pendidikan minimal D4/S1 Teknik Informatika / Sistem Informasi / Ilmu Komputer / Manajemen Informatika | Terbuka untuk lulusan baru | Menguasai SQL , database, dan bahasa pemrograman Java | Memahami terkait JSON, API, Blackbox, Whitebox, Regression, UAT, dan alur komunikasi antar aplikasi | Memahami API Testing, bug tracking, test documentation, performance & security testing dasar lebih disukai | Komunikatif dan mampu bekerja sama dengan tim | Memiliki kemauan untuk belajar Automation Testing | Diutamakan domisili Malang Raya | PenempatanMalang, Jawa Timur",https://id.jobstreet.com/id/job/91438082
"Koordinator Reg Project – Power Infra (Bali - Nusra, North - South Sumatera)",PT Tekno Infrastruktur Sukses,"Surabaya, Jawa Timur",Full time,Dirahasiakan,"Mengelola dan mengawasi pelaksanaan project roll out (site telekomunikasi / power infrastructure) di wilayah regional | Melakukan koordinasi dengan tim internal dan vendor terkait progress project | Memastikan target project berjalan sesuai timeline dan kualitas yang ditentukan | Membuat perencanaan strategis berdasarkan kondisi lapangan di masing-masing wilayah | Melakukan monitoring, evaluasi, dan reporting progress project secara berkala | Menghandle kendala di lapangan dan memberikan solusi secara cepat dan efektif | Pendidikan minimal S1 (diutamakan Teknik / relevan) | Pengalaman minimal 1 tahun diProject Roll Out / Power Infra / Telekomunikasi | Memiliki pengalaman dalam mengelola tim atau vendor | Bersedia ditempatkan di seluruh wilayah operasional (Bali Nusra / Sumatera) | Mampu bekerja secara mobile dan di lapangan | Pernah menangani project di area regional | Memahami proses pembangunan site / BTS / power infra",https://id.jobstreet.com/id/job/91425938
Software Engineer Specialist Phyton,PT Steel Pipe Industry of Indonesia Tbk,"Surabaya, Jawa Timur",Full time,Dirahasiakan,"Bachelor’s degree in Informatics, Information Systems, or related field | Minimum 2 years of professional experience in software development (especially at PHYTON) | Proven experience in developing applications:PHYTON (is a must) | Strong knowledge of: Linux / Windows Server, PostgreSQL, RESTful APIs, Docker, Git, Gitlab | Develop and maintain applications across web, desktop, and mobile platforms | Troubleshoot, debug, and resolve software issues | Ensure code quality, maintain documentation, and follow best practices | Knowledge of DevOps practices and CI/CD pipelines | Familiarity with Agile methodologies",https://id.jobstreet.com/id/job/91362005
PROGRAMMER,PT Agri Makmur Pertiwi Cabang Surabaya,"Surabaya, Jawa Timur",Full time,Dirahasiakan,"Merancang, mengembangkan, dan mengimplementasikan aplikasi perangkat lunak menggunakan teknologi terbaru | Mengidentifikasi dan memperbaiki bug dan masalah dalam sistem yang ada | Berkolaborasi dengan antar departemen untuk membangun solusi yang memenuhi kebutuhan bisnis | Melakukan pengujian dan pemeliharaan kode sumber untuk memastikan kinerja, keandalan, dan keamanan sistem | Terus belajar dan mengadopsi teknologi dan praktik terbaru dalam pengembangan perangkat lunak | Gelar sarjana di bidang Informatika, Teknik Komputer, atau disiplin ilmu terkait | Berpengalaman minimal selama 3-5 tahun bekerja sebagai ERP (Enterprise Resources Planning) Programmer | Berpengalaman dalam pembuatan Program Accounting & Finance, dan menguasai alur proses pembuatan laporan keuangan. | Mempunyai kemampuan managerial yang kuat, mampu mengkoordinir dan berkoordinasi dengan user dalam mengkomunikasikan business planning dan implementasi program yang dibuat. | Menguasai Bahasa Delphi, Database dan Report Oracle | Menguasai Operating Sistem Linux dan Window. | Menyukai pekerjaan programming dan memiliki kemampuan problem solver. | Mempunyai integritas, semangat kerja dan loyalitas yang tinggi. | Bersedia ditempatkan di Surabaya",https://id.jobstreet.com/id/job/91585455
