role_category,source_skill,target_skill,weight
AI / Machine Learning Engineer,deep learning,google cloud,12
AI / Machine Learning Engineer,docker,nlp,12
AI / Machine Learning Engineer,docker,scrum,12
AI / Machine Learning Engineer,flask,python,12
AI / Machine Learning Engineer,gcp,git,12
AI / Machine Learning Engineer,git,scrum,12
AI / Machine Learning Engineer,google cloud,kubernetes,12
AI / Machine Learning Engineer,google cloud,scrum,12
AI / Machine Learning Engineer,java,linux,12
AI / Machine Learning Engineer,jenkins,kubernetes,12
AI / Machine Learning Engineer,jenkins,sql,12
AI / Machine Learning Engineer,postgresql,python,12
AI / Machine Learning Engineer,agile,hive,11
AI / Machine Learning Engineer,ai,etl,11
AI / Machine Learning Engineer,artificial intelligence,ci/cd,11
AI / Machine Learning Engineer,artificial intelligence,hadoop,11
AI / Machine Learning Engineer,aws,github,11
AI / Machine Learning Engineer,azure,etl,11
AI / Machine Learning Engineer,azure,github,11
AI / Machine Learning Engineer,c#,machine learning,11
AI / Machine Learning Engineer,c++,nlp,11
AI / Machine Learning Engineer,cassandra,python,11
AI / Machine Learning Engineer,computer vision,google cloud,11
AI / Machine Learning Engineer,confluence,sql,11
AI / Machine Learning Engineer,docker,google cloud,11
AI / Machine Learning Engineer,etl,spark,11
AI / Machine Learning Engineer,fastapi,python,11
AI / Machine Learning Engineer,gcp,llm,11
AI / Machine Learning Engineer,git,java,11
AI / Machine Learning Engineer,git,version control,11
AI / Machine Learning Engineer,golang,pytorch,11
AI / Machine Learning Engineer,golang,tensorflow,11
AI / Machine Learning Engineer,google cloud,hadoop,11
AI / Machine Learning Engineer,java,scrum,11
AI / Machine Learning Engineer,jira,kubernetes,11
AI / Machine Learning Engineer,kubernetes,terraform,11
AI / Machine Learning Engineer,agile,c++,10
AI / Machine Learning Engineer,agile,confluence,10
AI / Machine Learning Engineer,agile,etl,10
AI / Machine Learning Engineer,ai,jira,10
AI / Machine Learning Engineer,ai,langchain,10
AI / Machine Learning Engineer,apache,java,10
AI / Machine Learning Engineer,artificial intelligence,linux,10
AI / Machine Learning Engineer,aws,confluence,10
AI / Machine Learning Engineer,aws,javascript,10
AI / Machine Learning Engineer,aws,llm,10
AI / Machine Learning Engineer,aws,microservices,10
AI / Machine Learning Engineer,bash,hadoop,10
AI / Machine Learning Engineer,c,c++,10
AI / Machine Learning Engineer,c,machine learning,10
AI / Machine Learning Engineer,c,python,10
AI / Machine Learning Engineer,c++,spark,10
AI / Machine Learning Engineer,confluence,git,10
AI / Machine Learning Engineer,data modeling,pytorch,10
AI / Machine Learning Engineer,gcp,scrum,10
AI / Machine Learning Engineer,git,golang,10
AI / Machine Learning Engineer,git,nlp,10
AI / Machine Learning Engineer,google cloud,kanban,10
AI / Machine Learning Engineer,google cloud,linux,10
AI / Machine Learning Engineer,hadoop,kafka,10
AI / Machine Learning Engineer,hive,java,10
AI / Machine Learning Engineer,java,jira,10
AI / Machine Learning Engineer,java,nlp,10
AI / Machine Learning Engineer,javascript,sql,10
AI / Machine Learning Engineer,jenkins,spark,10
AI / Machine Learning Engineer,kubernetes,scrum,10
AI / Machine Learning Engineer,llm,tensorflow,10
AI / Machine Learning Engineer,mongodb,python,10
AI / Machine Learning Engineer,agile,jenkins,9
AI / Machine Learning Engineer,ai,confluence,9
AI / Machine Learning Engineer,ai,data warehouse,9
AI / Machine Learning Engineer,ai,prompt engineering,9
AI / Machine Learning Engineer,ai,terraform,9
AI / Machine Learning Engineer,ai,version control,9
AI / Machine Learning Engineer,apache,kubernetes,9
AI / Machine Learning Engineer,artificial intelligence,c/c++,9
AI / Machine Learning Engineer,artificial intelligence,nlp,9
AI / Machine Learning Engineer,aws,data modeling,9
AI / Machine Learning Engineer,c/c++,git,9
AI / Machine Learning Engineer,c/c++,java,9
AI / Machine Learning Engineer,c/c++,javascript,9
AI / Machine Learning Engineer,ci/cd,deep learning,9
AI / Machine Learning Engineer,confluence,docker,9
AI / Machine Learning Engineer,confluence,java,9
AI / Machine Learning Engineer,confluence,spark,9
AI / Machine Learning Engineer,deep learning,kanban,9
AI / Machine Learning Engineer,docker,flask,9
AI / Machine Learning Engineer,docker,golang,9
AI / Machine Learning Engineer,etl,java,9
AI / Machine Learning Engineer,etl,kubernetes,9
AI / Machine Learning Engineer,flask,machine learning,9
AI / Machine Learning Engineer,flask,pytorch,9
AI / Machine Learning Engineer,gcp,golang,9
AI / Machine Learning Engineer,gcp,kafka,9
AI / Machine Learning Engineer,git,google cloud,9
AI / Machine Learning Engineer,git,javascript,9
AI / Machine Learning Engineer,git,jenkins,9
AI / Machine Learning Engineer,github,pytorch,9
AI / Machine Learning Engineer,golang,sql,9
AI / Machine Learning Engineer,hadoop,nlp,9
AI / Machine Learning Engineer,hive,tensorflow,9
AI / Machine Learning Engineer,java,javascript,9
AI / Machine Learning Engineer,java,kanban,9
AI / Machine Learning Engineer,jira,spark,9
AI / Machine Learning Engineer,kafka,kubernetes,9
AI / Machine Learning Engineer,kafka,pytorch,9
AI / Machine Learning Engineer,kafka,tensorflow,9
AI / Machine Learning Engineer,kanban,spark,9
AI / Machine Learning Engineer,kubernetes,microservices,9
AI / Machine Learning Engineer,langchain,python,9
AI / Machine Learning Engineer,machine learning,mongodb,9
AI / Machine Learning Engineer,machine learning,pmp,9
AI / Machine Learning Engineer,machine learning,postgresql,9
AI / Machine Learning Engineer,machine learning,tableau,9
AI / Machine Learning Engineer,mysql,python,9
AI / Machine Learning Engineer,prompt engineering,python,9
AI / Machine Learning Engineer,python,react,9
AI / Machine Learning Engineer,python,tableau,9
